prompt_prefix,prompt_raw,timestamp_utc,timestamp_kst,kst_date,kst_hour,session_id,turn_id,model,hook_event_name,prompt,prompt_char_count,prompt_line_count,is_multiline,contains_question,has_file_reference,has_command_reference,repair_signal,context_dependency_signal
sijun-yang,$prompt-logging-hook-setup,2026-04-12T10:56:40.968814+00:00,2026-04-12T19:56:40.968814+09:00,2026-04-12,19,019d8156-1cca-7fe3-a101-d62b86cef4c1,019d8156-2970-7b72-9704-821c96a5c753,gpt-5.4,UserPromptSubmit,[sijun-yang] $prompt-logging-hook-setup,26,1,False,False,False,False,False,False
sijun-yang,"다음 내용을 보고 존재해야하는 핵심 구성 3가지만 알려주고, 그 이유나 그런건 최소한으로 말해주세요.

목적
•
단 하루, AI를 도구 삼아 팀별 프로젝트에 몰입합니다. 

•
결과물뿐만 아니라 과정도 중요합니다. AI가 작성한 코드를 완벽히 내 것으로 소화해 그 원리를 설명할 수 있어야 합니다.  

•
낯선 기능도 Top-down으로 빠르게 풀어내며 '학습 민첩성'을 극대화하고, 현업 레벨의 기술을 직접 부딪쳐보며 실무 감각을 깨우쳐 보세요.

요구사항
•
이번 주 과제는 ‘SQL 처리기’ 구현입니다.

•
텍스트파일로 작성된 SQL문을 Command Line 명령을 통해 SQL처리기에 전달 할 수 있어야 합니다. 

•
SQL 파싱

◦
입력된 SQL 문장을 분석하여 구조화합니다.

◦
최소 지원

▪
INSERT

▪
SELECT

•
실행(Execution)

◦
파싱된 결과를 기반으로 실제 동작을 실행합니다.

◦
INSERT

▪
데이터를 파일에 저장

◦
SELECT

▪
파일에서 데이터를 읽어서 출력

•
데이터 저장(File기반 DB)

◦
각 테이블은 파일로 관리합니다.

◦
요구사항

▪
INSERT → 파일에 데이터를 추가

▪
SELECT → 파일에서 데이터 읽기

◦
데이터 저장 포맷

▪
자유롭게 설계(CSV/binary/custom 등)

•
전체 조건

◦
schema 및 table은 이미 존재한다고 가정

◦
즉, CREATE TABLE은 구현하지 않아도 됩니다.

•
기술조건

◦
구현 언어: C

•
“학습”보다는 “구현”이 우선입니다. AI 등을 적극적으로 활용하여 결과물을 만들어내는 것이 최우선 목표입니다.

◦
다만, 만들어진 결과물 중 핵심 로직에 대해서는 이해하고 설명할 수 있어야 합니다.

◦
코드를 직접 작성하기 어려운 경우, 전체 코드를 AI를 통해 생성해도 괜찮습니다. 다만, 생성된 코드를 반드시 학습하고 그 원리를 이해해야 합니다.

•
추가적으로, 다른 팀과의 차별점을 둘 수 있는 추가 구현 요소에 대해서도 함께 고민해 보시기 바랍니다.

중점 포인트
•
SQL 문장을 읽고, 파싱하고, 실행하는 ‘처리기(Processor)’를 만드는 것

◦
입력(SQL) → 파싱 → 실행 → 저장

•
파일 기반 데이터 저장 방식 설계

•
DB 처리 흐름 이해

•
CLI (Command Line Interface) 구현

품질
•
단위 테스트를 통해 함수를 검증합니다.

•
기능 테스트를 통해 SQL 처리가 잘되는지 확인합니다.

•
엣지 케이스를 최대한 고려 합니다.

•
이력서와 포트폴리오에 포함할 수 있을 만큼 완성도 높은 수준으로 구현합니다.

결과물 발표
•
목요일 오전

◦
각 팀이 발표를 통해 프로젝트를 서로 공유하는 시간을 갖습니다.

◦
본인 팀에서 만든 프로젝트를 간단히 데모 합니다.

◦
발표자료는 따로 만들지 않고, 깃헙 레포지토리의 README.md를 기준으로 설명합니다.

◦
AI를 활용해 빠르게 구현하는 것만큼, 생성된 코드에 대한 철저한 검증과 테스트도 중요합니다. 반드시 테스트 케이스를 작성하고 검증 과정을 수행 후에, 그 내용을 데모 발표에도 포함해 보세요.

◦
발표시간 4분, QnA 시간 1분",2026-04-12T12:22:01.092050+00:00,2026-04-12T21:22:01.092050+09:00,2026-04-12,21,019d8156-1cca-7fe3-a101-d62b86cef4c1,019d81a4-4653-7050-8b4a-16261a1be5d6,gpt-5.4,UserPromptSubmit,"[sijun-yang] 다음 내용을 보고 존재해야하는 핵심 구성 3가지만 알려주고, 그 이유나 그런건 최소한으로 말해주세요.

목적
•
단 하루, AI를 도구 삼아 팀별 프로젝트에 몰입합니다. 

•
결과물뿐만 아니라 과정도 중요합니다. AI가 작성한 코드를 완벽히 내 것으로 소화해 그 원리를 설명할 수 있어야 합니다.  

•
낯선 기능도 Top-down으로 빠르게 풀어내며 '학습 민첩성'을 극대화하고, 현업 레벨의 기술을 직접 부딪쳐보며 실무 감각을 깨우쳐 보세요.

요구사항
•
이번 주 과제는 ‘SQL 처리기’ 구현입니다.

•
텍스트파일로 작성된 SQL문을 Command Line 명령을 통해 SQL처리기에 전달 할 수 있어야 합니다. 

•
SQL 파싱

◦
입력된 SQL 문장을 분석하여 구조화합니다.

◦
최소 지원

▪
INSERT

▪
SELECT

•
실행(Execution)

◦
파싱된 결과를 기반으로 실제 동작을 실행합니다.

◦
INSERT

▪
데이터를 파일에 저장

◦
SELECT

▪
파일에서 데이터를 읽어서 출력

•
데이터 저장(File기반 DB)

◦
각 테이블은 파일로 관리합니다.

◦
요구사항

▪
INSERT → 파일에 데이터를 추가

▪
SELECT → 파일에서 데이터 읽기

◦
데이터 저장 포맷

▪
자유롭게 설계(CSV/binary/custom 등)

•
전체 조건

◦
schema 및 table은 이미 존재한다고 가정

◦
즉, CREATE TABLE은 구현하지 않아도 됩니다.

•
기술조건

◦
구현 언어: C

•
“학습”보다는 “구현”이 우선입니다. AI 등을 적극적으로 활용하여 결과물을 만들어내는 것이 최우선 목표입니다.

◦
다만, 만들어진 결과물 중 핵심 로직에 대해서는 이해하고 설명할 수 있어야 합니다.

◦
코드를 직접 작성하기 어려운 경우, 전체 코드를 AI를 통해 생성해도 괜찮습니다. 다만, 생성된 코드를 반드시 학습하고 그 원리를 이해해야 합니다.

•
추가적으로, 다른 팀과의 차별점을 둘 수 있는 추가 구현 요소에 대해서도 함께 고민해 보시기 바랍니다.

중점 포인트
•
SQL 문장을 읽고, 파싱하고, 실행하는 ‘처리기(Processor)’를 만드는 것

◦
입력(SQL) → 파싱 → 실행 → 저장

•
파일 기반 데이터 저장 방식 설계

•
DB 처리 흐름 이해

•
CLI (Command Line Interface) 구현

품질
•
단위 테스트를 통해 함수를 검증합니다.

•
기능 테스트를 통해 SQL 처리가 잘되는지 확인합니다.

•
엣지 케이스를 최대한 고려 합니다.

•
이력서와 포트폴리오에 포함할 수 있을 만큼 완성도 높은 수준으로 구현합니다.

결과물 발표
•
목요일 오전

◦
각 팀이 발표를 통해 프로젝트를 서로 공유하는 시간을 갖습니다.

◦
본인 팀에서 만든 프로젝트를 간단히 데모 합니다.

◦
발표자료는 따로 만들지 않고, 깃헙 레포지토리의 README.md를 기준으로 설명합니다.

◦
AI를 활용해 빠르게 구현하는 것만큼, 생성된 코드에 대한 철저한 검증과 테스트도 중요합니다. 반드시 테스트 케이스를 작성하고 검증 과정을 수행 후에, 그 내용을 데모 발표에도 포함해 보세요.

◦
발표시간 4분, QnA 시간 1분",1578,147,True,False,True,False,False,False
sijun-yang,그러면 그 말한 내용을 docs/ 폴더에 001 로 시작하는 마크다운 추가 ㄱㄱ,2026-04-12T12:24:59.845391+00:00,2026-04-12T21:24:59.845391+09:00,2026-04-12,21,019d8156-1cca-7fe3-a101-d62b86cef4c1,019d81a7-044b-7902-a23a-0ad52f5e235c,gpt-5.4,UserPromptSubmit,[sijun-yang] 그러면 그 말한 내용을 docs/ 폴더에 001 로 시작하는 마크다운 추가 ㄱㄱ,44,1,False,False,False,False,False,False
sijun-yang,"그럼 해당 각 3개의 구성요소를 그 요소의 핵심 구성요소 3가지로 분리하고, 이해하기 쉽게 계층형 구조로 정리해주세요.",2026-04-12T12:26:38.353658+00:00,2026-04-12T21:26:38.353658+09:00,2026-04-12,21,019d8156-1cca-7fe3-a101-d62b86cef4c1,019d81a8-8514-71b0-8361-852261f7e4d9,gpt-5.4,UserPromptSubmit,"[sijun-yang] 그럼 해당 각 3개의 구성요소를 그 요소의 핵심 구성요소 3가지로 분리하고, 이해하기 쉽게 계층형 구조로 정리해주세요.",66,1,False,False,False,False,False,False
sijun-yang,"아니 수정하지 말고, 그거는 별도의 마크다운 002에 저장되어야 함.",2026-04-12T12:27:59.616609+00:00,2026-04-12T21:27:59.616609+09:00,2026-04-12,21,019d8156-1cca-7fe3-a101-d62b86cef4c1,019d81a9-c27b-7363-836b-3159c81a05da,gpt-5.4,UserPromptSubmit,"[sijun-yang] 아니 수정하지 말고, 그거는 별도의 마크다운 002에 저장되어야 함.",38,1,False,False,False,False,False,True
sijun-yang,"각 단계(예: 2.1, 1.3)의 요소를 의사코드 단위로 나누는데, 설명은 각 요소가 3가지 단계로 나뉘어지도록 한다.
최상단 핵심 요소가 하나의 함수가 되고, main 함수에서 이 함수들을 조립한다고 가정한다.",2026-04-12T12:31:46.003224+00:00,2026-04-12T21:31:46.003224+09:00,2026-04-12,21,019d8156-1cca-7fe3-a101-d62b86cef4c1,019d81ad-36c7-7061-87fe-ee419f5c8a3c,gpt-5.4,UserPromptSubmit,"[sijun-yang] 각 단계(예: 2.1, 1.3)의 요소를 의사코드 단위로 나누는데, 설명은 각 요소가 3가지 단계로 나뉘어지도록 한다.
최상단 핵심 요소가 하나의 함수가 되고, main 함수에서 이 함수들을 조립한다고 가정한다.",118,2,True,False,False,False,False,False
sijun-yang,"각 단계(예: 2.1, 1.3)의 요소를 의사코드 단위로 나누는데, 설명은 각 요소가 3가지 단계로 나뉘어지도록 한다.
최상단 핵심 요소가 하나의 함수가 되고, main 함수에서 이 함수들을 조립한다고 가정한다.

해당 설명은 003으로 시작하는 마크다운 파일에 적는다.",2026-04-12T12:32:05.648261+00:00,2026-04-12T21:32:05.648261+09:00,2026-04-12,21,019d8156-1cca-7fe3-a101-d62b86cef4c1,019d81ad-83a8-7680-92b5-0beeb35e5f4d,gpt-5.4,UserPromptSubmit,"[sijun-yang] 각 단계(예: 2.1, 1.3)의 요소를 의사코드 단위로 나누는데, 설명은 각 요소가 3가지 단계로 나뉘어지도록 한다.
최상단 핵심 요소가 하나의 함수가 되고, main 함수에서 이 함수들을 조립한다고 가정한다.

해당 설명은 003으로 시작하는 마크다운 파일에 적는다.",151,4,True,False,False,False,False,False
sijun-yang,의사코드는 한글로 작성한다.,2026-04-12T12:35:05.857270+00:00,2026-04-12T21:35:05.857270+09:00,2026-04-12,21,019d8156-1cca-7fe3-a101-d62b86cef4c1,019d81b0-4386-7840-8e17-43f87bd68cf9,gpt-5.4,UserPromptSubmit,[sijun-yang] 의사코드는 한글로 작성한다.,15,1,False,False,False,False,False,True
sijun-yang,"if, print return_err, return XXX

같은거 정도는 영어로 써도 됨.",2026-04-12T12:37:39.231132+00:00,2026-04-12T21:37:39.231132+09:00,2026-04-12,21,019d8156-1cca-7fe3-a101-d62b86cef4c1,019d81b2-9a9b-77b1-8e92-5a4ede90ef7c,gpt-5.4,UserPromptSubmit,"[sijun-yang] if, print return_err, return XXX

같은거 정도는 영어로 써도 됨.",51,3,True,False,False,False,False,False
sijun-yang,"def나 함수이름, 변수 이름도",2026-04-12T12:41:00.558727+00:00,2026-04-12T21:41:00.558727+09:00,2026-04-12,21,019d8156-1cca-7fe3-a101-d62b86cef4c1,019d81b5-ad1a-7000-8350-f384b23012d8,gpt-5.4,UserPromptSubmit,"[sijun-yang] def나 함수이름, 변수 이름도",17,1,False,False,False,False,False,True
